method,rank,query_artist,query_song,query_genre,match_artist,match_song,match_genre,score
raw inner product,1,The Black Keys,No Fun,blues,Enrique Iglesias,Miss You,latin,1584.0
raw inner product,2,The Black Keys,No Fun,blues,Tracey Ullman,Breakaway,pop,1418.0
raw inner product,3,The Black Keys,No Fun,blues,Janis Joplin,Kozmic Blues,blues,1222.0
raw inner product,1,The Black Keys,Stack Shot Billy,blues,Lauryn Hill,Interlude 5,r&b/soul,655.0
raw inner product,2,The Black Keys,Stack Shot Billy,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,542.0
raw inner product,3,The Black Keys,Stack Shot Billy,blues,The Pharcyde,Otha Fish,hip hop,529.0
raw inner product,1,The Black Keys,Ten Cent Pistol,blues,The Corrs,Queen Of Hollywood ( LP Version ),pop,902.0
raw inner product,2,The Black Keys,Ten Cent Pistol,blues,Twiztid,She Ain't Afraid,hip hop,889.0
raw inner product,3,The Black Keys,Ten Cent Pistol,blues,Lauryn Hill,Interlude 5,r&b/soul,799.0
raw inner product,1,The Black Keys,The Flame,blues,Lauryn Hill,Interlude 5,r&b/soul,2219.0
raw inner product,2,The Black Keys,The Flame,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1494.0
raw inner product,3,The Black Keys,The Flame,blues,Eminem,My Darling,hip hop,1236.0
raw inner product,1,The Black Keys,These Days,blues,Lauryn Hill,Interlude 5,r&b/soul,2558.0
raw inner product,2,The Black Keys,These Days,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2148.0
raw inner product,3,The Black Keys,These Days,blues,Erykah Badu,I Want You,r&b/soul,1884.0
raw inner product,1,The Black Keys,When The Lights Go Out,blues,Lauryn Hill,Interlude 5,r&b/soul,2209.0
raw inner product,2,The Black Keys,When The Lights Go Out,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1781.0
raw inner product,3,The Black Keys,When The Lights Go Out,blues,Erykah Badu,I Want You,r&b/soul,1457.0
raw inner product,1,The Black Keys,Have Love Will Travel,blues,Erykah Badu,I Want You,r&b/soul,2215.0
raw inner product,2,The Black Keys,Have Love Will Travel,blues,Lauryn Hill,Interlude 5,r&b/soul,2205.0
raw inner product,3,The Black Keys,Have Love Will Travel,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2108.0
raw inner product,1,Ray Charles,C.C. Rider,blues,Lauryn Hill,Interlude 5,r&b/soul,7547.0
raw inner product,2,Ray Charles,C.C. Rider,blues,Twista,I'm A Winner (Amended Album Version),hip hop,6158.0
raw inner product,3,Ray Charles,C.C. Rider,blues,Eminem,My Darling,hip hop,5473.0
raw inner product,1,Ray Charles,I Got a Woman,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2251.0
raw inner product,2,Ray Charles,I Got a Woman,blues,Lauryn Hill,Interlude 5,r&b/soul,2160.0
raw inner product,3,Ray Charles,I Got a Woman,blues,Twiztid,She Ain't Afraid,hip hop,2066.0
raw inner product,1,Ray Charles,The Sun's Gonna Shine Again,blues,Lauryn Hill,Interlude 5,r&b/soul,2103.0
raw inner product,2,Ray Charles,The Sun's Gonna Shine Again,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1440.0
raw inner product,3,Ray Charles,The Sun's Gonna Shine Again,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1435.0
raw inner product,1,Ray Charles,Losing Hand,blues,Lauryn Hill,Interlude 5,r&b/soul,3227.0
raw inner product,2,Ray Charles,Losing Hand,blues,Twista,I'm A Winner (Amended Album Version),hip hop,2963.0
raw inner product,3,Ray Charles,Losing Hand,blues,Erykah Badu,I Want You,r&b/soul,2841.0
raw inner product,1,Blake Shelton,Nobody But Me (Album Version),blues,Lauryn Hill,Interlude 5,r&b/soul,4601.0
raw inner product,2,Blake Shelton,Nobody But Me (Album Version),blues,Twista,I'm A Winner (Amended Album Version),hip hop,3701.0
raw inner product,3,Blake Shelton,Nobody But Me (Album Version),blues,Erykah Badu,I Want You,r&b/soul,3608.0
raw inner product,1,Etta James,A Sunday Kind of Love,blues,Lauryn Hill,Interlude 5,r&b/soul,2268.0
raw inner product,2,Etta James,A Sunday Kind of Love,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2092.0
raw inner product,3,Etta James,A Sunday Kind of Love,blues,Eminem,8 Mile,hip hop,1772.0
raw inner product,1,Etta James,I Just Want To Make Love To You,blues,Lauryn Hill,Interlude 5,r&b/soul,7889.0
raw inner product,2,Etta James,I Just Want To Make Love To You,blues,Twista,I'm A Winner (Amended Album Version),hip hop,7104.0
raw inner product,3,Etta James,I Just Want To Make Love To You,blues,Erykah Badu,I Want You,r&b/soul,6291.0
raw inner product,1,Etta James,My Dearest Darling,blues,Lauryn Hill,Interlude 5,r&b/soul,1609.0
raw inner product,2,Etta James,My Dearest Darling,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1603.0
raw inner product,3,Etta James,My Dearest Darling,blues,Eminem,My Darling,hip hop,1567.0
raw inner product,1,Etta James,W.O.M.A.N.,blues,Lauryn Hill,Interlude 5,r&b/soul,2237.0
raw inner product,2,Etta James,W.O.M.A.N.,blues,Electrelane,Cut And Run,punk,1879.0
raw inner product,3,Etta James,W.O.M.A.N.,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1744.0
raw inner product,1,Eric Clapton,Alberta,blues,Lauryn Hill,Interlude 5,r&b/soul,1647.0
raw inner product,2,Eric Clapton,Alberta,blues,Twista,I'm A Winner (Amended Album Version),hip hop,1532.0
raw inner product,3,Eric Clapton,Alberta,blues,Eminem,My Darling,hip hop,1249.0
raw inner product,1,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,Lauryn Hill,Interlude 5,r&b/soul,1431.0
raw inner product,2,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,Eminem,My Darling,hip hop,1312.0
raw inner product,3,Eric Clapton,Before You Accuse Me (Take A Look At Yourself),blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1285.0
raw inner product,1,Eric Clapton,Early In The Morning,blues,Lauryn Hill,Interlude 5,r&b/soul,2719.0
raw inner product,2,Eric Clapton,Early In The Morning,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2110.0
raw inner product,3,Eric Clapton,Early In The Morning,blues,Danity Kane,Hold Me Down (Album Version),r&b/soul,1773.0
raw inner product,1,Eric Clapton,Floating Bridge,blues,Lauryn Hill,Interlude 5,r&b/soul,2423.0
raw inner product,2,Eric Clapton,Floating Bridge,blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2285.0
raw inner product,3,Eric Clapton,Floating Bridge,blues,Eminem,8 Mile,hip hop,1863.0
raw inner product,1,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,Lauryn Hill,Interlude 5,r&b/soul,1804.0
raw inner product,2,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1711.0
raw inner product,3,Eric Clapton,Kind Hearted Woman Blues (Album Version),blues,Twista,I'm A Winner (Amended Album Version),hip hop,1577.0
raw inner product,1,Michael Bublé,That's All (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4289.0
raw inner product,2,Michael Bublé,That's All (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,2974.0
raw inner product,3,Michael Bublé,That's All (Album Version),classical,Michael Jackson,Man In The Mirror,pop,2837.0
raw inner product,1,Josh Groban,America (Revised Live Version),classical,Lauryn Hill,Interlude 5,r&b/soul,2325.0
raw inner product,2,Josh Groban,America (Revised Live Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2240.0
raw inner product,3,Josh Groban,America (Revised Live Version),classical,Eminem,8 Mile,hip hop,1876.0
raw inner product,1,Josh Groban,Broken Vow (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4866.0
raw inner product,2,Josh Groban,Broken Vow (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,4115.0
raw inner product,3,Josh Groban,Broken Vow (Album Version),classical,Erykah Badu,I Want You,r&b/soul,3892.0
raw inner product,1,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,Abba,Move On,pop,1407.0
raw inner product,2,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,Horace Andy,Horse With No Name,reggae,1321.0
raw inner product,3,Josh Groban,Gira Con Me Questa Notte (Album Version),classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,1148.0
raw inner product,1,Josh Groban,Hymne A L'Amour (Album Version),classical,Tryo,Yakamonéyé,reggae,923.0
raw inner product,2,Josh Groban,Hymne A L'Amour (Album Version),classical,Fonky Family,L'Amour Du Risque,hip hop,917.0
raw inner product,3,Josh Groban,Hymne A L'Amour (Album Version),classical,Sniper,Panam All Star,hip hop,906.0
raw inner product,1,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,The Streets,Weak Become Heroes,hip hop,1169.0
raw inner product,2,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,Travis,Sing,pop,949.0
raw inner product,3,Josh Groban,It Came Upon A Midnight Clear (Album Version),classical,Jenny Lewis,Sing A Song,country,862.0
raw inner product,1,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,2200.0
raw inner product,2,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Eminem,8 Mile,hip hop,2187.0
raw inner product,3,Josh Groban,Let Me Fall (From Cirque du Soleil) (Album Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2172.0
raw inner product,1,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,Shaggy,Luv Me Up,reggae,663.0
raw inner product,2,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,500.0
raw inner product,3,Josh Groban,Mi Mancherai (Il Postino) (Revised Live Version),classical,Jowell & Randy,Te Ando Buscando,reggae,478.0
raw inner product,1,Josh Groban,My Confession (Album Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3830.0
raw inner product,2,Josh Groban,My Confession (Album Version),classical,Eminem,8 Mile,hip hop,3532.0
raw inner product,3,Josh Groban,My Confession (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,3498.0
raw inner product,1,Josh Groban,Oceano (Revised Live Version),classical,Flaminio Maphia,Quelli Che,hip hop,765.0
raw inner product,2,Josh Groban,Oceano (Revised Live Version),classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,631.0
raw inner product,3,Josh Groban,Oceano (Revised Live Version),classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,587.0
raw inner product,1,Josh Groban,Remember When It Rained (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,1644.0
raw inner product,2,Josh Groban,Remember When It Rained (Album Version),classical,Michael Jackson,Man In The Mirror,pop,1486.0
raw inner product,3,Josh Groban,Remember When It Rained (Album Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1450.0
raw inner product,1,Josh Groban,Remember When It Rained (Revised Live Version),classical,Lauryn Hill,Interlude 5,r&b/soul,1644.0
raw inner product,2,Josh Groban,Remember When It Rained (Revised Live Version),classical,Michael Jackson,Man In The Mirror,pop,1486.0
raw inner product,3,Josh Groban,Remember When It Rained (Revised Live Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1450.0
raw inner product,1,Josh Groban,Smile,classical,Lauryn Hill,Interlude 5,r&b/soul,2716.0
raw inner product,2,Josh Groban,Smile,classical,Twista,I'm A Winner (Amended Album Version),hip hop,2258.0
raw inner product,3,Josh Groban,Smile,classical,Michael Jackson,Man In The Mirror,pop,1797.0
raw inner product,1,Josh Groban,Solo Por Ti (Album Version),classical,Abba,Move On,pop,1405.0
raw inner product,2,Josh Groban,Solo Por Ti (Album Version),classical,Horace Andy,Horse With No Name,reggae,1331.0
raw inner product,3,Josh Groban,Solo Por Ti (Album Version),classical,Violadores del Verso,Dale tiempo al rumor,hip hop,798.0
raw inner product,1,Josh Groban,Un Giorno Per Noi (Album Version),classical,The Pharcyde,Otha Fish,hip hop,378.0
raw inner product,2,Josh Groban,Un Giorno Per Noi (Album Version),classical,Abba,Move On,pop,373.0
raw inner product,3,Josh Groban,Un Giorno Per Noi (Album Version),classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,368.0
raw inner product,1,Josh Groban,Vincent (Starry_ Starry Night) (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4657.0
raw inner product,2,Josh Groban,Vincent (Starry_ Starry Night) (Album Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2949.0
raw inner product,3,Josh Groban,Vincent (Starry_ Starry Night) (Album Version),classical,Eminem,My Darling,hip hop,2831.0
raw inner product,1,Josh Groban,When You Say You Love Me (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,7162.0
raw inner product,2,Josh Groban,When You Say You Love Me (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,6206.0
raw inner product,3,Josh Groban,When You Say You Love Me (Album Version),classical,Erykah Badu,I Want You,r&b/soul,4726.0
raw inner product,1,Josh Groban,You Raise Me Up (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,4545.0
raw inner product,2,Josh Groban,You Raise Me Up (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,4530.0
raw inner product,3,Josh Groban,You Raise Me Up (Album Version),classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3980.0
raw inner product,1,Josh Groban,Believe (Album Version),classical,Lauryn Hill,Interlude 5,r&b/soul,2718.0
raw inner product,2,Josh Groban,Believe (Album Version),classical,Twista,I'm A Winner (Amended Album Version),hip hop,2074.0
raw inner product,3,Josh Groban,Believe (Album Version),classical,Michael Jackson,Man In The Mirror,pop,1737.0
raw inner product,1,Johnny Cash,Away In A Manger,classical,Lauryn Hill,Interlude 5,r&b/soul,824.0
raw inner product,2,Johnny Cash,Away In A Manger,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,787.0
raw inner product,3,Johnny Cash,Away In A Manger,classical,Eminem,8 Mile,hip hop,604.0
raw inner product,1,Josh Groban,Cinema Paradiso (Se) (Album Version),classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,311.0
raw inner product,2,Josh Groban,Cinema Paradiso (Se) (Album Version),classical,Flaminio Maphia,Quelli Che,hip hop,305.0
raw inner product,3,Josh Groban,Cinema Paradiso (Se) (Album Version),classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,305.0
raw inner product,1,David Crowder*Band,All Around Me,classical,Lauryn Hill,Interlude 5,r&b/soul,5833.0
raw inner product,2,David Crowder*Band,All Around Me,classical,Twista,I'm A Winner (Amended Album Version),hip hop,5385.0
raw inner product,3,David Crowder*Band,All Around Me,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,5004.0
raw inner product,1,The Game,Black Opera,classical,Lauryn Hill,Interlude 5,r&b/soul,15262.0
raw inner product,2,The Game,Black Opera,classical,Twista,I'm A Winner (Amended Album Version),hip hop,14936.0
raw inner product,3,The Game,Black Opera,classical,Erykah Badu,I Want You,r&b/soul,11789.0
raw inner product,1,David Bowie,Baal's Hymn,classical,Lauryn Hill,Interlude 5,r&b/soul,2626.0
raw inner product,2,David Bowie,Baal's Hymn,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,2184.0
raw inner product,3,David Bowie,Baal's Hymn,classical,Vanilla Ice,Ice Is Workin' It,hip hop,1936.0
raw inner product,1,Il Divo,Adagio,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,545.0
raw inner product,2,Il Divo,Adagio,classical,Flaminio Maphia,Quelli Che,hip hop,487.0
raw inner product,3,Il Divo,Adagio,classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,476.0
raw inner product,1,Il Divo,Adeste Fideles,classical,Vanilla Ice,It's A Party,hip hop,666.0
raw inner product,2,Il Divo,Adeste Fideles,classical,Black Eyed Peas,Tell Your Momma Come,hip hop,391.0
raw inner product,3,Il Divo,Adeste Fideles,classical,João Gilberto,Aguas De Marco,latin,372.0
raw inner product,1,Il Divo,All By Myself (Solo Otra Vez),classical,Los Van Van,El Negro Está Cocinando,latin,666.0
raw inner product,2,Il Divo,All By Myself (Solo Otra Vez),classical,Willie Colon,Gitana,latin,657.0
raw inner product,3,Il Divo,All By Myself (Solo Otra Vez),classical,Horace Andy,Horse With No Name,reggae,653.0
raw inner product,1,Il Divo,Amazing Grace,classical,Lauryn Hill,Interlude 5,r&b/soul,2069.0
raw inner product,2,Il Divo,Amazing Grace,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,1701.0
raw inner product,3,Il Divo,Amazing Grace,classical,Nelly,Splurge,hip hop,1376.0
raw inner product,1,Il Divo,Angelina,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,1313.0
raw inner product,2,Il Divo,Angelina,classical,Violadores del Verso,Cantando,hip hop,1097.0
raw inner product,3,Il Divo,Angelina,classical,Los Van Van,El Negro Está Cocinando,latin,944.0
raw inner product,1,Il Divo,Ave Maria,classical,Abba,Move On,pop,468.0
raw inner product,2,Il Divo,Ave Maria,classical,Horace Andy,Horse With No Name,reggae,434.0
raw inner product,3,Il Divo,Ave Maria,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,407.0
raw inner product,1,Il Divo,Caruso,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,690.0
raw inner product,2,Il Divo,Caruso,classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,518.0
raw inner product,3,Il Divo,Caruso,classical,Abba,Move On,pop,507.0
raw inner product,1,Il Divo,Come Primavera,classical,Abba,Move On,pop,1560.0
raw inner product,2,Il Divo,Come Primavera,classical,Horace Andy,Horse With No Name,reggae,1442.0
raw inner product,3,Il Divo,Come Primavera,classical,Desmond Dekker,Mother Nature,reggae,760.0
raw inner product,1,Il Divo,Dentro Un Altro Si,classical,Flaminio Maphia,Quelli Che,hip hop,353.0
raw inner product,2,Il Divo,Dentro Un Altro Si,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,344.0
raw inner product,3,Il Divo,Dentro Un Altro Si,classical,Fabrizio De Andrè,Sinan Capudan Pascià,folk,308.0
raw inner product,1,Il Divo,En Aranjuez Con Tu Amor,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,1672.0
raw inner product,2,Il Divo,En Aranjuez Con Tu Amor,classical,Violadores del Verso,Cantando,hip hop,1408.0
raw inner product,3,Il Divo,En Aranjuez Con Tu Amor,classical,Victor Manuelle,Lloré Lloré,latin,1254.0
raw inner product,1,Il Divo,Enamorado,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,563.0
raw inner product,2,Il Divo,Enamorado,classical,Johnny Prez,Te Vuelvo Loca,reggae,560.0
raw inner product,3,Il Divo,Enamorado,classical,Willie Colon,Gitana,latin,524.0
raw inner product,1,Il Divo,Esisti Dentro Me,classical,Elvis Crespo,Tu Sonrisa,latin,541.0
raw inner product,2,Il Divo,Esisti Dentro Me,classical,Daddy Yankee,Como Y Vete,reggae,456.0
raw inner product,3,Il Divo,Esisti Dentro Me,classical,RBD,Tu Amor (Hecho En Madrid),latin,431.0
raw inner product,1,Il Divo,Everytime I Look At You,classical,Lauryn Hill,Interlude 5,r&b/soul,4220.0
raw inner product,2,Il Divo,Everytime I Look At You,classical,Beastie Boys,B-Boy Bouillabaisse: A.W.O.L. (2009 Digital Remaster),hip hop,3609.0
raw inner product,3,Il Divo,Everytime I Look At You,classical,Twista,I'm A Winner (Amended Album Version),hip hop,3545.0
raw inner product,1,Il Divo,Feelings,classical,Dean Martin,I've Grown Accustomed To Her Face,jazz,806.0
raw inner product,2,Il Divo,Feelings,classical,Us3,Can U Feel It?,jazz,617.0
raw inner product,3,Il Divo,Feelings,classical,Gemelli Diversi,Istruzioni Per L'(Ill)uso,hip hop,589.0
raw inner product,1,Il Divo,Hallelujah (Aleluya),classical,Violadores del Verso,Dale tiempo al rumor,hip hop,1339.0
raw inner product,2,Il Divo,Hallelujah (Aleluya),classical,Violadores del Verso,Cantando,hip hop,1195.0
raw inner product,3,Il Divo,Hallelujah (Aleluya),classical,Victor Manuelle,Lloré Lloré,latin,1005.0
raw inner product,1,Il Divo,Hasta Mi Final,classical,Violadores del Verso,Dale tiempo al rumor,hip hop,637.0
